lakeid,year4,sampledate,chl_use,method_used
WI,2010,2010-06-22,14.05,correct_fluor
WI,2010,2010-07-02,6.7,spec
WI,2010,2010-07-07,17.133333333333333,correct_fluor
WI,2010,2010-07-21,14.75,correct_fluor
WI,2010,2010-08-05,15.066666666666666,correct_fluor
WI,2010,2010-08-17,36,correct_fluor
WI,2010,2010-08-31,18.299999999999997,correct_fluor
WI,2011,2011-06-01,6.550000000000001,correct_fluor
WI,2011,2011-06-15,11.033333333333333,correct_fluor
WI,2011,2011-06-28,10.7,correct_fluor
WI,2011,2011-07-13,14.466666666666667,correct_fluor
WI,2011,2011-07-26,12.2,correct_fluor
WI,2011,2011-08-10,17.166666666666668,correct_fluor
WI,2011,2011-08-23,12.95,correct_fluor
WI,2012,2012-06-13,4.466666666666667,correct_fluor
WI,2012,2012-06-26,5.65,correct_fluor
WI,2012,2012-07-12,5.766666666666667,correct_fluor
WI,2012,2012-07-24,18.85,correct_fluor
WI,2012,2012-08-08,9.833333333333334,correct_fluor
WI,2012,2012-08-24,16.200000000000003,correct_fluor
WI,2013,2013-06-12,15,correct_fluor
WI,2013,2013-06-24,20.1,correct_fluor
WI,2013,2013-07-09,25.233333333333334,correct_fluor
WI,2013,2013-07-22,33.65,correct_fluor
WI,2013,2013-08-08,23.3,correct_fluor
WI,2013,2013-08-19,15.1,correct_fluor
WI,2014,2014-06-03,13.85,correct_fluor
WI,2014,2014-06-12,18.833333333333332,correct_fluor
WI,2014,2014-06-24,15.850000000000001,correct_fluor
WI,2014,2014-07-10,13.666666666666668,correct_fluor
WI,2014,2014-07-23,10.600000000000001,correct_fluor
WI,2014,2014-08-06,15.3,correct_fluor
WI,2014,2014-08-19,10.2,correct_fluor
WI,2015,2015-06-11,10.2,correct_fluor
WI,2015,2015-06-24,10.7,correct_fluor
WI,2015,2015-07-10,14,correct_fluor
WI,2015,2015-07-23,14.5,correct_fluor
WI,2015,2015-08-05,12.833333333333334,correct_fluor
WI,2015,2015-08-17,11.8,correct_fluor
WI,2016,2016-06-09,11.233333333333333,correct_fluor
WI,2016,2016-06-21,8.2,correct_fluor
WI,2016,2016-07-07,19.333333333333332,correct_fluor
WI,2016,2016-07-20,18.25,correct_fluor
WI,2016,2016-08-03,16.633333333333333,correct_fluor
WI,2016,2016-08-17,16.85,correct_fluor
WI,2017,2017-06-01,8.25,correct_fluor
WI,2017,2017-06-14,6.233333333333333,correct_fluor
WI,2017,2017-06-27,3.4000000000000004,correct_fluor
WI,2017,2017-07-12,5.6,correct_fluor
WI,2017,2017-07-26,5.65,correct_fluor
WI,2017,2017-08-09,63.7,correct_fluor
WI,2017,2017-08-21,40.9,correct_fluor
WI,2018,2018-06-14,18.3,correct_fluor
WI,2018,2018-06-28,15.35,correct_fluor
WI,2018,2018-07-13,16.8,correct_fluor
WI,2018,2018-07-24,32.3,correct_fluor
WI,2018,2018-08-09,22.2,correct_fluor
WI,2018,2018-08-21,15.95,correct_fluor
WI,2019,2019-06-14,11.799999999999999,correct_fluor
WI,2019,2019-06-26,13.1,correct_fluor
WI,2019,2019-07-11,11.966666666666667,correct_fluor
WI,2019,2019-07-24,22.4,correct_fluor
WI,2019,2019-08-07,31.900000000000002,correct_fluor
WI,2019,2019-08-19,28.950000000000003,correct_fluor
WI,2020,2020-06-08,5.75,correct_fluor
WI,2020,2020-08-06,15.65,correct_fluor
WI,2021,2021-06-04,5.1,correct_fluor
WI,2021,2021-06-17,6.050000000000001,correct_fluor
WI,2021,2021-07-02,5.45,correct_fluor
WI,2021,2021-07-20,8.1,correct_fluor
WI,2021,2021-07-29,11,correct_fluor
WI,2021,2021-08-11,18.05,correct_fluor
WI,2022,2022-06-03,6.949999999999999,correct_fluor
WI,2022,2022-06-29,5.85,correct_fluor
WI,2022,2022-07-20,7.9,correct_fluor
WI,2022,2022-07-27,7.6,correct_fluor
WI,2022,2022-08-12,8.25,correct_fluor
WI,2022,2022-08-23,8.3,correct_fluor
WI,2023,2023-06-01,0.3,correct_fluor
WI,2023,2023-06-13,4.45,correct_fluor
WI,2023,2023-06-26,3.25,correct_fluor
WI,2023,2023-07-12,5.95,correct_fluor
WI,2023,2023-07-26,5.300000000000001,correct_fluor
WI,2023,2023-08-09,8.2,correct_fluor
WI,2023,2023-08-22,5.8,correct_fluor
